njny,pname,aname,vid,vtype,roomfr,roomto,time,desc
80,Yuka Althoff,Girl010,,,Bld19/b19-f01-rm1024,Bld19/b19-f01-rm1030,20.269,Yuka Althoff interbuiding leg.snode:b19-f01-rm1024 enode:b19-f01-rm1030
81,Fang Brown,Businessman003,AN-1610,Car007,Bld19/b19-f01-rm1017,BldRWB/rwb-f03-rm3265,20.269,Fang Brown traveling to rwb-f03-rm3265 with a Car007
82,Joana Gates,Businesswoman005,,,BldRWB/rwb-f03-rm3367,BldRWB/rwb-f03-rm3049,20.269,Joana Gates interbuiding leg.snode:rwb-f03-rm3367 enode:rwb-f03-rm3049
83,Xaoice Singh,Girl005,,,Bld19/b19-f01-rm1033a,Bld19/b19-f01-rm1004,20.269,Xaoice Singh interbuiding leg.snode:b19-f01-rm1033a enode:b19-f01-rm1004
84,Ava Balmer,Businesswoman005,,,Bld19/b19-f01-rm1016,Bld19/b19-f01-lobby,20.269,Ava Balmer interbuiding leg.snode:b19-f01-rm1016 enode:b19-f01-lobby
85,Vihann Bohr,Man010,W-4062,Car002,Bld19/b19-f01-rm1005,BldRWB/rwb-f03-rm3256,20.269,Vihann Bohr traveling to rwb-f03-rm3256 with a Car002
86,Olivia Remus,Businesswoman005,,,Bld19/b19-f01-rm1001,Bld19/b19-f01-rm1033a,20.269,Olivia Remus interbuiding leg.snode:b19-f01-rm1001 enode:b19-f01-rm1033a
87,Uschi Blanc,Businesswoman006,,,BldRWB/rwb-f03-rm3173,BldRWB/rwb-f03-rm3151,22.304,Uschi Blanc interbuiding leg.snode:rwb-f03-rm3173 enode:rwb-f03-rm3151
88,Ira Jones,Businesswoman009,,,Bld19/b19-f01-rm1002,Bld19/b19-f01-rm1004,22.304,Ira Jones interbuiding leg.snode:b19-f01-rm1002 enode:b19-f01-rm1004
89,Tony Kumar,Man008,,,BldRWB/rwb-f03-rm3368,BldRWB/rwb-f03-rm3066,22.304,Tony Kumar interbuiding leg.snode:rwb-f03-rm3368 enode:rwb-f03-rm3066
90,Raquel Tanaka,Girl003,,,BldRWB/rwb-f03-rm3070,BldRWB/rwb-f03-rm3100,22.304,Raquel Tanaka interbuiding leg.snode:rwb-f03-rm3070 enode:rwb-f03-rm3100
91,Arjun Althoff,Businessman007,L-7615,Car009,Bld19/b19-f01-rm1021,BldRWB/rwb-f03-rm3172,22.304,Arjun Althoff traveling to rwb-f03-rm3172 with a Car009
92,Vanya Anand,Businesswoman002,,,Bld19/b19-f01-rm1032,Bld19/b19-f01-rm1005,22.304,Vanya Anand interbuiding leg.snode:b19-f01-rm1032 enode:b19-f01-rm1005
93,Muhammad Patel,Man008,,,Bld19/b19-f01-rm1036,Bld19/b19-f01-rm1025,24.362,Muhammad Patel interbuiding leg.snode:b19-f01-rm1036 enode:b19-f01-rm1025
94,Aryan Cupp,Man008,,,Bld19/b19-f01-rm1006,Bld19/b19-f01-rm1015,24.362,Aryan Cupp interbuiding leg.snode:b19-f01-rm1006 enode:b19-f01-rm1015
95,Arjun Bohr,Businessman010,,,Bld19/b19-f01-rm1033a,Bld19/b19-f01-rm1029,24.362,Arjun Bohr interbuiding leg.snode:b19-f01-rm1033a enode:b19-f01-rm1029
96,Peng Johnson,Businessman007,,,Bld19/b19-f01-rm1023,Bld19/b19-f01-rm1012,24.362,Peng Johnson interbuiding leg.snode:b19-f01-rm1023 enode:b19-f01-rm1012
97,Rio Watanabe,Businesswoman003,,,BldRWB/rwb-f03-rm3145,BldRWB/rwb-f03-rm3248,24.362,Rio Watanabe interbuiding leg.snode:rwb-f03-rm3145 enode:rwb-f03-rm3248
98,Fang Takahashi,Businessman006,,,BldRWB/rwb-f03-rm3096,BldRWB/rwb-f03-rm3346,24.362,Fang Takahashi interbuiding leg.snode:rwb-f03-rm3096 enode:rwb-f03-rm3346
99,Bruce Martin,Man004,,,BldRWB/rwb-f03-rm3267,BldRWB/rwb-f03-rm3339,24.362,Bruce Martin interbuiding leg.snode:rwb-f03-rm3267 enode:rwb-f03-rm3339
100,Zoe Remus,Businesswoman001,,,Bld19/b19-f01-rm1026,Bld19/b19-f01-rm1001,24.362,Zoe Remus interbuiding leg.snode:b19-f01-rm1026 enode:b19-f01-rm1001
101,Elizabeth Park,Girl004,,,Bld19/b19-f01-rm1006,Bld19/b19-f01-rm1031,26.391,Elizabeth Park interbuiding leg.snode:b19-f01-rm1006 enode:b19-f01-rm1031
102,Vanya Yamamoto,Girl006,,,BldRWB/rwb-f03-rm3335,BldRWB/rwb-f03-rm3101,26.391,Vanya Yamamoto interbuiding leg.snode:rwb-f03-rm3335 enode:rwb-f03-rm3101
103,Aarav Takahashi,Man010,,,Bld19/b19-f01-rm1036,Bld19/b19-f01-rm1034,26.391,Aarav Takahashi interbuiding leg.snode:b19-f01-rm1036 enode:b19-f01-rm1034
104,Tanya Miller,Businesswoman003,,,Bld19/b19-f01-rm1003,Bld19/b19-f01-rm1019,26.391,Tanya Miller interbuiding leg.snode:b19-f01-rm1003 enode:b19-f01-rm1019
105,Sai Laren,Girl005,,,Bld19/b19-f01-rm1027,Bld19/b19-f01-rm1039,26.391,Sai Laren interbuiding leg.snode:b19-f01-rm1027 enode:b19-f01-rm1039
106,Angela Kumar,Girl005,,,Bld19/b19-f01-rm1019,Bld19/b19-f01-rm1012,26.391,Angela Kumar interbuiding leg.snode:b19-f01-rm1019 enode:b19-f01-rm1012
107,Olivia Kobayashi,Businesswoman002,,,Bld19/b19-f01-rm1018,Bld19/b19-f01-rm1002,26.391,Olivia Kobayashi interbuiding leg.snode:b19-f01-rm1018 enode:b19-f01-rm1002
108,Linda Ray,Businesswoman005,,,Bld19/b19-f01-rm1038,Bld19/b19-f01-rm1022,26.391,Linda Ray interbuiding leg.snode:b19-f01-rm1038 enode:b19-f01-rm1022
109,Ravi Park,Man003,,,BldRWB/rwb-f03-rm3091,BldRWB/rwb-f03-rm3056,28.437,Ravi Park interbuiding leg.snode:rwb-f03-rm3091 enode:rwb-f03-rm3056
110,Max Kumar,Man005,,,Bld43/b43-f01-rm1015,Bld43/b43-f01-rm1008,28.437,Max Kumar interbuiding leg.snode:b43-f01-rm1015 enode:b43-f01-rm1008
111,Vivaan Tanaka,Man006,,,Bld19/b19-f01-rm1038,Bld19/b19-f01-rm1035,28.437,Vivaan Tanaka interbuiding leg.snode:b19-f01-rm1038 enode:b19-f01-rm1035
112,Raquel Singh,Girl009,,,Bld19/b19-f01-rm1033,Bld19/b19-f01-rm1036,28.437,Raquel Singh interbuiding leg.snode:b19-f01-rm1033 enode:b19-f01-rm1036
113,Li Althoff,Girl002,,,BldRWB/rwb-f03-rm3140,BldRWB/rwb-f03-rm3094,30.462,Li Althoff interbuiding leg.snode:rwb-f03-rm3140 enode:rwb-f03-rm3094
114,Tay Martin,Girl007,,,Bld19/b19-f01-rm1033a,Bld19/b19-f01-rm1022,30.462,Tay Martin interbuiding leg.snode:b19-f01-rm1033a enode:b19-f01-rm1022
115,Alice Mortimer,Businesswoman004,,,Bld19/b19-f01-rm1034,Bld19/b19-f01-rm1002,30.462,Alice Mortimer interbuiding leg.snode:b19-f01-rm1034 enode:b19-f01-rm1002
